title;pid;url
L'homophobie;PUF_BORRI_2001_01;http://www.cairn.info/l-homophobie--9782130521792.htm
L’humour juif;PUF_KLATZ_2009_01;http://www.cairn.info/l-humour-juif--9782130576709.htm
L’identité;PUF_MUCCH_2011_01;http://www.cairn.info/l-identite--9782130589204.htm
L'imaginaire;PUF_WUNEN_2013_01;http://www.cairn.info/l-imaginaire--9782130608585.htm
L’INA;PUF_HOOG_2006_01;http://www.cairn.info/l-ina--9782130545453.htm
Les Incas;PUF_FAVRE_2011_01;http://www.cairn.info/les-incas--9782130590750.htm
L'incertitude dans les théories économiques;DEC_MOURE_2004_01;http://www.cairn.info/l-incertitude-dans-les-theories-economiques--9782707138514.htm
L’inceste;PUF_PARAT_2004_01;http://www.cairn.info/l-inceste--9782130541073.htm
L’inconscient;PUF_FILLO_2009_01;http://www.cairn.info/l-inconscient--9782130575283.htm
L’industrie du disque;DEC_CURIE_2006_01;http://www.cairn.info/l-industrie-du-disque--9782707148582.htm
L’industrie manufacturière française;DEC_OFCE_2010_03;http://www.cairn.info/l-industrie-manufacturiere-francaise--9782707158222.htm
L’industrie des médias à l’ère numérique;DEC_GABSZ_2010_01;http://www.cairn.info/l-industrie-des-medias-a-l-ere-numerique--9782707159984.htm
Les industries éducatives;PUF_MOEGL_2010_01;http://www.cairn.info/les-industries-educatives--9782130582199.htm
Inflation et désinflation;DEC_BEZBA_2011_01;http://www.cairn.info/inflation-et-desinflation--9782707169266.htm
L’information et le renseignement par Internet;PUF_IFRAH_2010_01;http://www.cairn.info/l-information-et-le-renseignement-par-internet--9782130579496.htm
L'Inquisition;PUF_TESTA_2001_01;http://www.cairn.info/l-inquisition--9782130510772.htm
L’insécurité en France;DEC_ROBER_2002_01;http://www.cairn.info/l-insecurite-en-france--9782707135995.htm
L'insertion des jeunes en France;PUF_NICOL_2006_01;http://www.cairn.info/l-insertion-des-jeunes-en-france--9782130554882.htm
L'insomnie;PUF_DESAI_2006_01;http://www.cairn.info/l-insomnie--9782130558644.htm
L'intérim;DEC_GLAYM_2007_01;http://www.cairn.info/l-interim--9782707149543.htm
